id,jour,ordre histoires,ordre conditions,histoire,type,condition,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance
2,2,s 3012,c 2130,0,vehicule,1,Sonistik,Sonistik,True,Sunistik,z_u_n_i_s_t_i_k,z_o_n_i_s_t_i_k,0.7142857142857143
2,2,s 3012,c 2130,0,maison,1,Lasgelich,Keimase,False,,,k_aI_m_a_s_@,10
2,2,s 3012,c 2130,1,maison,3,Ligete,Ligete,True,,,l_i_g_e_t_@,10
2,2,s 3012,c 2130,0,personnage,1,Mielbete,Mielbete,True,Melare,m_e_l_a_r_@,m_i_l_b_e_t_@,4.2857142857142865
2,2,s 3012,c 2130,3,maison,2,Keimase,Zulergen,False,,,ts_u_l_@_r_g_@,10
2,2,s 3012,c 2130,1,vehicule,3,Mattendich,Mattendich,True,Machende,m_a_x_@_n_d_@,m_a_t_@_n_d_i_C,2.857142857142857
2,2,s 3012,c 2130,2,maison,0,Madikten,Madikten,True,Medikte,m_e_d_i_k_t_@,m_a_d_i_k_t_@,1.142857142857143
2,2,s 3012,c 2130,1,personnage,3,Tereinat,Tereinat,True,Trentete,t_r_@_n_t_e_t_@,t_e_r_aI_n_a_t,5.2857142857142865
2,2,s 3012,c 2130,3,vehicule,2,Melare,Melare,True,,,m_e_l_a_r_@,10
2,2,s 3012,c 2130,2,personnage,0,Soltete,Soltete,True,,,s_o_l_t_e_t_@,10
2,2,s 3012,c 2130,2,vehicule,0,Wecktellin,Wecktellin,True,Vektrene,v_@_k_t_r_e_n_@,v_@_k_t_e_l_i_n,3.428571428571429
2,2,s 3012,c 2130,3,personnage,2,Ligete,Lasgelich,False,,,l_a_s_g_e_l_i_C,10
1,2,s 1302,c 3012,0,vehicule,1,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10
1,2,s 1302,c 3012,0,maison,1,Madikten,Keimase,False,,,k_aI_m_a_s_@,10
1,2,s 1302,c 3012,1,maison,3,Tereinat,Ligete,False,Legete,l_e_g_e_t_@,l_i_g_e_t_@,0.7142857142857143
1,2,s 1302,c 3012,0,personnage,1,Mattendich,Mielbete,False,,,m_i_l_b_e_t_@,10
1,2,s 1302,c 3012,3,maison,0,Keimase,Zulergen,False,,,ts_u_l_@_r_g_@,10
1,2,s 1302,c 3012,1,vehicule,3,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10
1,2,s 1302,c 3012,2,maison,2,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10
1,2,s 1302,c 3012,1,personnage,3,Zulergen,Tereinat,False,,,t_e_r_aI_n_a_t,10
1,2,s 1302,c 3012,3,vehicule,0,Melare,Melare,True,Melare,m_e_l_a_r_@,m_e_l_a_r_@,0.0
1,2,s 1302,c 3012,2,personnage,2,Soltete,Soltete,True,,,s_o_l_t_e_t_@,10
1,2,s 1302,c 3012,2,vehicule,2,Wecktellin,Wecktellin,True,,,v_@_k_t_e_l_i_n,10
1,2,s 1302,c 3012,3,personnage,0,Lasgelich,Lasgelich,True,,,l_a_s_g_e_l_i_C,10
3,2,s 0321,c 0312,0,vehicule,0,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10
3,2,s 0321,c 0312,0,maison,0,Mielbete,Keimase,False,,,k_aI_m_a_s_@,10
3,2,s 0321,c 0312,1,maison,2,Keimase,Ligete,False,,,l_i_g_e_t_@,10
3,2,s 0321,c 0312,0,personnage,0,Soltete,Mielbete,False,,,m_i_l_b_e_t_@,10
3,2,s 0321,c 0312,3,maison,3,Wecktellin,Zulergen,False,,,ts_u_l_@_r_g_@,10
3,2,s 0321,c 0312,1,vehicule,2,Madikten,Mattendich,False,,,m_a_t_@_n_d_i_C,10
3,2,s 0321,c 0312,2,maison,1,Tereinat,Madikten,False,,,m_a_d_i_k_t_@,10
3,2,s 0321,c 0312,1,personnage,2,Ligete,Tereinat,False,,,t_e_r_aI_n_a_t,10
3,2,s 0321,c 0312,3,vehicule,3,Mattendich,Melare,False,,,m_e_l_a_r_@,10
3,2,s 0321,c 0312,2,personnage,1,Lasgelich,Soltete,False,,,s_o_l_t_e_t_@,10
3,2,s 0321,c 0312,2,vehicule,1,Zulergen,Wecktellin,False,,,v_@_k_t_e_l_i_n,10
3,2,s 0321,c 0312,3,personnage,3,Melare,Lasgelich,False,,,l_a_s_g_e_l_i_C,10
4,2,s 0231,c 0132,0,vehicule,0,Sonistik,Sonistik,True,melare,m_e_l_a_r_@,z_o_n_i_s_t_i_k,8.285714285714286
4,2,s 0231,c 0132,0,maison,0,Madikten,Keimase,False,,,k_aI_m_a_s_@,10
4,2,s 0231,c 0132,1,maison,2,Ligete,Ligete,True,,,l_i_g_e_t_@,10
4,2,s 0231,c 0132,0,personnage,0,-1,Mielbete,False,,,m_i_l_b_e_t_@,10
4,2,s 0231,c 0132,3,maison,3,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10
4,2,s 0231,c 0132,1,vehicule,2,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10
4,2,s 0231,c 0132,2,maison,1,Keimase,Madikten,False,...dick...,d_i_k,m_a_d_i_k_t_@,4.0
4,2,s 0231,c 0132,1,personnage,2,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10
4,2,s 0231,c 0132,3,vehicule,3,Sonistik,Melare,False,,,m_e_l_a_r_@,10
4,2,s 0231,c 0132,2,personnage,1,Zulergen,Soltete,False,soltete,z_o_l_t_e_t_@,s_o_l_t_e_t_@,0.7142857142857143
4,2,s 0231,c 0132,2,vehicule,1,Wecktellin,Wecktellin,True,vekti...,v_@_k_t_i,v_@_k_t_e_l_i_n,3.0
4,2,s 0231,c 0132,3,personnage,3,Lasgelich,Lasgelich,True,terrainaud,t_e_r_aI_n_aU_d,l_a_s_g_e_l_i_C,9.0
5,2,s 2310,c 3102,0,vehicule,2,Wecktellin,Sonistik,False,,,z_o_n_i_s_t_i_k,10
5,2,s 2310,c 3102,0,maison,2,Keimase,Keimase,True,,,k_aI_m_a_s_@,10
